resolved,slosh,sl-sh,ns,form,notes,
N,N,Y,iterator,next!,
N,N,Y,iterator,nth,
N,N,Y,iterator,range,
N,N,Y,iterator,range-iter,
N,N,Y,iterator,reduce,
N,N,Y,iterator,reduce-times,
N,N,Y,iterator,repeat,
N,N,Y,iterator,repeat-iter,
N,N,Y,iterator,reverse,
N,N,Y,iterator,reverse-iter,
N,N,Y,iterator,slice,
N,N,Y,iterator,slice-iter,
N,N,Y,iterator,string-iter,
N,N,Y,iterator,takek,
N,N,Y,iterator,take-iter,
N,N,Y,iterator,vec-iter,
N,N,Y,logger,logger,
N,N,Y,math,%,
N,N,Y,math,*,
N,N,Y,math,*euler*,
N,N,Y,math,*pi*,
N,N,Y,math,+,
N,N,Y,math,-,
N,N,Y,math,/,
N,N,Y,math,2pow,
N,N,Y,math,abs,
N,N,Y,math,arccos,
N,N,Y,math,arcsin,
N,N,Y,math,arctan,
N,N,Y,math,ceil,
N,N,Y,math,cos,
N,N,Y,math,exp,
N,N,Y,math,floor,
N,N,Y,math,fract,
N,N,Y,math,lne,
N,N,Y,math,log,
N,N,Y,math,log2,
N,N,Y,math,pow,
N,N,Y,math,round,
N,N,Y,math,sin,
N,N,Y,math,sqrt,
N,N,Y,math,tan,
N,N,Y,math,to-degrees,
N,N,Y,math,to-radians,
N,N,Y,namespace,ns-auto-export,
N,N,Y,namespacemath,ns-create,
N,N,Y,namespacemath,ns-enter,
N,N,Y,namespacemath,ns-exists?,
N,N,Y,namespacemath,ns-export,
N,N,Y,namespacemath,ns-import,
N,N,Y,namespacemath,ns-list,
N,N,Y,namespacemath,ns-pop,
N,N,Y,namespacemath,ns-push,
N,N,Y,namespace, ns-symbols,
N,N,Y,pair,car,
N,N,Y,pair,cdr,
N,N,Y,pair,join,
N,N,Y,pair,list,
N,N,Y,pair,xar!,
N,N,Y,pair,xdr!,
N,N,Y,pair-ext,caaar,
N,N,Y,pair-ext,caadr,
N,N,Y,pair-ext,caar,
N,N,Y,pair-ext,cadar,
N,N,Y,pair-ext,cadddr,
N,N,Y,pair-ext,caddr,
N,N,Y,pair-ext,cadr,
N,N,Y,pair-ext,cdaar,
N,N,Y,pair-ext,cdadr,
N,N,Y,pair-ext,cdar,
N,N,Y,pair-ext,cddar,
N,N,Y,pair-ext,cdddr,
N,N,Y,pair-ext,cddr,
N,N,Y,random,probool,
N,N,Y,random,random,
N,N,Y,random,random-str,
N,N,Y,regex,make-regex,
N,N,Y,regex,re-color,
N,N,Y,regex,re-find,
N,N,Y,regex,re-find-all,
N,N,Y,regex,re-match,
N,N,Y,regex,re-replace,
N,N,Y,root,*read-table*,
N,N,Y,root,*read-table-terminal*,
N,N,Y,root,*string-read-table*,
N,N,Y,scripting,*load-path*,
N,N,Y,scripting,load,
N,N,Y,scripting mkli,
N,N,Y,sequence,butlast,
N,N,Y,sequence,collect-copy,
N,N,Y,sequence,empty-seq?,
N,N,Y,sequence,first,
N,N,Y,sequence,in?,
N,N,Y,sequence,last,
N,N,Y,sequence,non-empty-seq?,
N,N,Y,sequence,qsort,
N,N,Y,sequence,rest,
N,N,Y,sequence,seq-for,
N,N,Y,sequence,seq?,
N,N,Y,sequence,setnth!,
N,N,Y,shell,*stderr*,
N,N,Y,shell,*stdin*,
N,N,Y,shell,*stdout*,
N,N,Y,shell,alias,
N,N,Y,shell,alias?,
N,N,Y,shell,bg-color-rgb,
N,N,Y,shell,clear-dirs,
N,N,Y,shell,dirs,
N,N,Y,shell,epoch,
N,N,Y,shell,err>,
N,N,Y,shell,err>>,
N,N,Y,shell,err>null,
N,N,Y,shell,fc,
N,N,Y,shell,fg-color-rgb,
N,N,Y,shell,get-dirs,
N,N,Y,shell,getopts,
N,N,Y,shell,getopts-help,
N,N,Y,shell,history-context,
N,N,Y,shell,history-empty?,
N,N,Y,shell,history-length,
N,N,Y,shell,history-nth,
N,N,Y,shell,history-push,
N,N,Y,shell,history-push-throwaway,
N,N,Y,shell,let-env,
N,N,Y,shell,out-err>,
N,N,Y,shell,out-err>>,
N,N,Y,shell,out-err>null,
N,N,Y,shell,out>,
N,N,Y,shell,out>>,
N,N,Y,shell,out>null,
N,N,Y,shell,popd,
N,N,Y,shell,prompt,
N,N,Y,shell,pushd,
N,N,Y,shell,register-alias,
N,N,Y,shell,set-dirs-max,
N,N,Y,shell,syntax-off,
N,N,Y,shell,syntax-on,
N,N,Y,shell,sys-command?,
N,N,Y,shell,timer,
N,N,Y,shell,unalias,
N,N,Y,shell,unregister-alias,
N,N,Y,shell,version,
N,N,Y,stats,first-quartile,
N,N,Y,stats,max,
N,N,Y,stats,mean,
N,N,Y,stats,median,
N,N,Y,stats,min,
N,N,Y,stats,mode,
N,N,Y,stats,std-dev,
N,N,Y,stats,summary-stats,
N,N,Y,stats,third-quartile,
N,N,Y,string,char->int,
N,N,Y,string,codepoints,
N,N,Y,string,do-unstr,
N,N,Y,string,str,
N,N,Y,string,str-append,
N,N,Y,string,str-bytes,
N,N,Y,string,str-cat-list,
N,N,Y,string,str-clear!,
N,N,Y,string,str-contains,
N,N,Y,string,str-empty?,
N,N,Y,string,str-iter-empty?,
N,N,Y,string,str-iter-next!,
N,N,Y,string,str-iter-peek,
N,N,Y,string,str-iter-start,
N,N,Y,string,str-lower,
N,N,Y,string,str-ltrim,
N,N,Y,string,str-map,
N,N,Y,string,str-nth,
N,N,Y,string,str-push!,
N,N,Y,string,str-replace,
N,N,Y,string,str-rsplit,
N,N,Y,string,str-rsplitn,
N,N,Y,string,str-rtrim,
N,N,Y,string,str-split,
N,N,Y,string,str-splitn,
N,N,Y,string,str-starts-with,
N,N,Y,string,str-sub,
N,N,Y,string,str-trim,
N,N,Y,string,str-upper,
N,N,Y,string,with-padding,
N,N,Y,struct,defstruct,
N,N,Y,struct, deftrait,
N,N,Y,system,bg,
N,N,Y,system,exit,
N,N,Y,system,export,
N,N,Y,system,fg,
N,N,Y,system,fork,
N,N,Y,system,get-env,
N,N,Y,system,get-pid,
N,N,Y,system,jobs,
N,N,Y,system,pid,
N,N,Y,system,pipe,
N,N,Y,system,reap-jobs,
N,N,Y,system,sleep,
N,N,Y,system,syscall,
N,N,Y,system,time,
N,N,Y,system,umask,
N,N,Y,system,unexport,
N,N,Y,system,wait,
N,N,Y,test,assert-equal,
N,N,Y,test,assert-error,
N,N,Y,test,assert-error-msg,
N,N,Y,test,assert-false,
N,N,Y,test,assert-not-equal,
N,N,Y,test,assert-true,
N,N,Y,test,run-example,
N,N,Y,threading-macros,->,
N,N,Y,threading-macros,->>,
N,N,Y,threading-macros,chain,
N,N,Y,threading-macros,chain-and,
N,N,Y,threading-macros,chain-when,
N,N,Y,type,boolean?,
N,N,Y,type,builtin?,
N,N,Y,type,char?,
N,N,Y,type,false?,
N,N,Y,type,falsey?,
N,N,Y,type,file?,
N,N,Y,type,float->int,
N,N,Y,type,float?,
N,N,Y,type,func?,
N,N,Y,type,hash?,
N,N,Y,type,int->float,
N,N,Y,type,int?,
N,N,Y,type,lambda?,
N,N,Y,type,list?,
N,N,Y,type,macro?,
N,N,Y,type,nil?,
N,N,Y,type,none?,
N,N,Y,type,pair?,
N,N,Y,type,process?,
N,N,Y,type,regex?,
N,N,Y,type,some?,
N,N,Y,type,str->float,
N,N,Y,type,str->int,
N,N,Y,type,string?,
N,N,Y,type,sym,
N,N,Y,type,sym->str,
N,N,Y,type,symbol?,
N,N,Y,type,true?,
N,N,Y,type,type,
